%Core	Top [mbsf]	Drilled [m]	Rec [m]
1	0	0.46	0.46
2	0	3.3	3.97
3	3.3	3.3	3.09
4	6.6	3.3	2.7
5	9.9	3.3	3.15
6	13.2	3.3	3.2
7	16.5	3	2.71
8	19.5	3.3	3.7
9	22.8	3.3	3.56
10	26.1	3.3	3.74
11	29.4	3.3	3.42
12	32.7	3.3	3.69
13	36	3.3	3.87
14	39.3	3.3	3.97
15	42.6	3.3	3.8
16	45.9	3.3	3.74
17	49.2	3.3	3.64
18	52.5	3.3	3.54
19	55.8	3.3	1.52
20	59.1	3.3	3.69
21	62.4	3.3	3.38
22	65.7	3.3	3.7
23	69	3.3	3.49
24	72.3	3.3	3.52
25	75.6	3.3	3.64
26	78.9	3.3	3.42
27	82.2	3.3	3.48
28	85.5	3.3	3.57
29	88.8	3.3	3.45
30	92.1	1.8	1.8
31	93.9	1.9	1.95
32	95.8	1	0
33	96.8	1	0
34	97.8	1	0.27
35	98.8	3	0
36	101.8	1	0.66
37	102.8	1	0
38	103.8	2	0
39	105.8	0	0.03
40	105.8	10	0
41	115.8	0	0.01
