%Core	Offset [m]	Depth [m]	Depth comp [mcd]
1	0.03	0	0.03
2	0.26	2	2.26
3	0.07	4	4.07
4	0.43	6	6.43
5	0.62	8	8.62
6	0.89	10	10.89
7	0.89	12	12.89
8	0.62	14	14.62
9	0.89	16	16.89
10	1.41	18	19.41
11	0.89	20	20.89
12	0.89	22	22.89
13	0.89	24	24.89
14	-0.1	26	25.9
15	-0.33	28	27.67
16	-0.92	30	29.08
17	-0.62	32	31.38
18	0.73	34	34.73
19	1.79	36	37.79
20	2.71	38	40.71
21	2.71	40	42.71
22	2.71	42	44.71
23	1.77	44	45.77
24	0.81	46	46.81
25	0.81	48	48.81
26	0.81	50	50.81
27	0.32	52	52.32
28	0.32	54.5	54.82
29	0.39	57.8	58.19
30	0.16	61.1	61.26
31	0.16	64.4	64.56
32	0.39	67.7	68.09
33	0.16	71	71.16
34	0.16	74.3	74.46
35	0.16	77.6	77.76
36	0.26	80.9	81.16
37	0.39	84.2	84.59
38	0.36	87.5	87.86
39	0.74	90.8	91.54
40	0.74	93.3	94.04
41	0.74	96.3	97.04
