%Core	Top [mbsf]	Drilled [m]	Rec [m]
1	0	2	3.71
2	2	2	3.12
3	4	2	2.5
4	6	2	2.24
5	8	2	3.02
6	10	2	2.44
7	12	2	2.66
8	14	2	2.51
9	16	2	2.61
10	18	2	2.6
11	20	2	2.64
12	22	2	2.68
13	24	2	3.23
14	26	2	2.79
15	28	2	2.93
16	30	2	3
17	32	2	3.68
18	34	2	3.64
19	36	2	2.9
20	38	2	3.36
21	40	2	3.34
22	42	2	3.48
23	44	2	3.05
24	46	2	2.91
25	48	2	3.08
26	50	2	2.86
27	52	2.5	2.81
28	54.5	3.3	2.64
29	57.8	3.3	3.38
30	61.1	3.3	3.44
31	64.4	3.3	3.55
32	67.7	3.3	3.54
33	71	3.3	3.54
34	74.3	3.3	3.67
35	77.6	3.3	3.47
36	80.9	3.3	3.45
37	84.2	3.3	3.51
38	87.5	3.3	3.46
39	90.8	2.5	2.5
NaN	NaN	NaN	NaN
41	96.3	0.1	0.1
