%Core	Offset [m]	Depth [m]	Depth comp [mcd]
1	0	0	0
2	0.99	1.5	2.49
3	0.2	3.5	3.7
4	1.52	5.5	7.02
5	1.94	7.5	9.44
6	1.94	9.5	11.44
7	1.94	11.5	13.44
8	1.94	13.5	15.44
9	2.34	15.5	17.84
10	1.94	17.5	19.44
11	2.11	19.5	21.61
12	2.45	21.5	23.95
13	1.72	23	24.72
14	1.72	25	26.72
15	0.28	27	27.28
16	0.35	29	29.35
17	-0.67	31	30.33
18	-0.4	33	32.6
19	0.33	35	35.33
20	0.65	37	37.65
21	0.42	39	39.42
22	0.42	41	41.42
23	0.85	43	43.85
24	1.34	44.5	45.84
25	0.79	46.5	47.29
26	0.06	48.5	48.56
27	0.06	50.5	50.56
28	0.2	52.5	52.7
29	0.2	54	54.2
30	0.2	54.2	54.4
31	0.2	56.2	56.4
32	-0.03	58.7	58.67
33	0.72	61.2	61.92
34	0.72	63.7	64.42
35	0.72	67	67.72
36	0.66	67.6	68.26
37	-0.17	70.3	70.13
38	-0.17	73.6	73.43
39	0.29	76.9	77.19
40	0.29	80.2	80.49
41	0.36	83.5	83.86
