%Core	Top [mbsf]	Drilled [m]	Rec [m]
1	0	1.5	3.31
2	1.5	2	3.73
3	3.5	2	3.11
4	5.5	2	2.26
5	7.5	2	2.21
6	9.5	2	2.26
7	11.5	2	2.59
8	13.5	2	3.14
9	15.5	2	2.35
10	17.5	2	3.17
11	19.5	2	2.4
12	21.5	1.5	3.08
13	23	2	2.94
14	25	2	2.58
15	27	2	2.47
16	29	2	2.58
17	31	2	3.06
18	33	2	2.92
19	35	2	2.72
20	37	2	2.64
21	39	2	2.9
22	41	2	2.98
23	43	2	2.69
24	44.5	2	3.08
25	46.5	2	3.19
26	48.5	2	3.15
27	50.5	2	2.89
28	52.5	1.5	2.16
NaN	NaN	NaN	NaN
30	54.2	2	3.02
31	56.2	2.5	3.21
32	58.7	2.5	3.47
33	61.2	2.5	3.03
34	63.7	3.3	2.64
35	67	0.6	0.63
36	67.6	2.7	2.19
37	70.3	3.3	3.43
38	73.6	3.3	3.67
39	76.9	3.3	3.52
40	80.2	3.3	3.24
41	83.5	3.3	3.56
