%Core	Offset [m]	Depth [m]	Depth comp [mcd]
1	-0.12	0	-0.12
2	-0.12	2	1.88
3	-0.27	4	3.73
4	-0.12	6	5.88
5	-0.7	8	7.3
6	-1.41	10	8.59
7	-1.41	12	10.59
8	-0.32	14	13.68
9	0.05	16	16.05
10	0.88	18	18.88
11	-0.35	20	19.65
12	0.38	22	22.38
13	-0.04	24	23.96
14	-0.59	26	25.41
15	-0.36	28	27.64
16	-0.46	30	29.54
17	-0.56	32	31.44
18	-0.03	34	33.97
19	-0.61	36	35.39
20	-0.86	38	37.14
21	0.56	40	40.56
22	0.99	42	42.99
23	0.45	44	44.45
24	-0.8	46	45.2
25	-0.46	48	47.54
26	-0.54	50	49.46
27	-0.56	52	51.44
28	-1.33	54	52.67
29	-1.33	56	54.67
30	-1.33	58	56.67
31	-1.33	60	58.67
32	-1.33	62	60.67
33	-1.01	64	62.99
34	-0.27	66	65.73
35	1.19	68	69.19
36	1.8	70	71.8
37	1.45	72	73.45
38	1.45	74	75.45
39	0.57	75.3	75.87
40	0.11	78.6	78.71
41	0.36	81.9	82.26
42	0.57	85.2	85.77
43	1.46	88.5	89.96
44	1.46	91.8	93.26
