%Core	Top [mbsf]	Drilled [m]	Rec [m]
1	0	2	2.8
2	2	2	3.49
3	4	2	2.25
4	6	2	2.24
5	8	2	2.7
6	10	2	2.71
7	12	2	2.84
8	14	2	2.31
9	16	2	2.74
10	18	2	2.09
11	20	2	2.65
12	22	2	2.63
13	24	2	1.88
14	26	2	2.52
15	28	2	2.63
16	30	2	3.45
17	32	2	3.71
18	34	2	3.35
19	36	2	2.82
20	38	2	3.1
21	40	2	2.78
22	42	2	3.2
23	44	2	2.72
24	46	2	3.31
25	48	2	3.39
26	50	2	3.39
27	52	2	3.41
28	54	2	3.36
29	56	2	3.12
30	58	2	3.4
31	60	2	3.35
32	62	2	3.41
33	64	2	3.48
34	66	2	3.42
35	68	2	3.6
36	70	2	2.71
37	72	2	3.01
38	74	1.3	0
39	75.3	3.3	3.14
40	78.6	3.3	3.36
41	81.9	3.3	3.49
42	85.2	3.3	3.41
43	88.5	3.3	3.3
44	91.8	1	1.01
